id,city,country,latitude,longitude
0,Faro,Portugal,37.01667,-7.93333
1,Madrid,Spain,40.4165,-3.70256
2,Porto,Portugal,41.15,-8.61667
3,Lisbon,Portugal,38.71667,-9.13333
4,Barcelona,Spain,41.38879,2.15899
5,Manchester,United Kingdom,53.48095,-2.23743
6,New York,United Kingdom,53.07897,-0.14008
7,Amsterdam,Netherlands,52.37403,4.88969
8,Eindhoven,Netherlands,51.44083,5.47778
9,Berlin,Germany,52.52437,13.41053
10,Frankfurt,Germany,50.11667,8.68333
11,Munich,Germany,48.13743,11.57549
12,Paris,France,48.85341,2.3488
13,Rennes,France,48.08333,-1.68333
14,London,United Kingdom,51.50853,-0.12574
